package_id	package_doc	status_file	dependencies	dependency_type	wave	branch	worktree	manual	finalize
01-architecture-structural-analysis	packages/01-architecture-structural-analysis.md	status/01-architecture-structural-analysis.md	none	status	1	agent/deep-audit/01-architecture-structural-analysis	.worktrees/01-architecture-structural-analysis	0	0
02-technical-debt-audit	packages/02-technical-debt-audit.md	status/02-technical-debt-audit.md	none	status	1	agent/deep-audit/02-technical-debt-audit	.worktrees/02-technical-debt-audit	0	0
03-module-dependency-analysis	packages/03-module-dependency-analysis.md	status/03-module-dependency-analysis.md	none	status	1	agent/deep-audit/03-module-dependency-analysis	.worktrees/03-module-dependency-analysis	0	0
04-code-quality-metrics	packages/04-code-quality-metrics.md	status/04-code-quality-metrics.md	none	status	1	agent/deep-audit/04-code-quality-metrics	.worktrees/04-code-quality-metrics	0	0
05-session-kernel-deep-dive	packages/05-session-kernel-deep-dive.md	status/05-session-kernel-deep-dive.md	01-architecture-structural-analysis	status	2	agent/deep-audit/05-session-kernel-deep-dive	.worktrees/05-session-kernel-deep-dive	0	0
06-performance-optimization-analysis	packages/06-performance-optimization-analysis.md	status/06-performance-optimization-analysis.md	03-module-dependency-analysis	status	2	agent/deep-audit/06-performance-optimization-analysis	.worktrees/06-performance-optimization-analysis	0	0
07-test-coverage-gap-analysis	packages/07-test-coverage-gap-analysis.md	status/07-test-coverage-gap-analysis.md	04-code-quality-metrics	status	2	agent/deep-audit/07-test-coverage-gap-analysis	.worktrees/07-test-coverage-gap-analysis	0	0
08-architecture-boundary-violations	packages/08-architecture-boundary-violations.md	status/08-architecture-boundary-violations.md	01-architecture-structural-analysis,02-technical-debt-audit	status	2	agent/deep-audit/08-architecture-boundary-violations	.worktrees/08-architecture-boundary-violations	0	0
09-optimization-roadmap	packages/09-optimization-roadmap.md	status/09-optimization-roadmap.md	05-session-kernel-deep-dive,06-performance-optimization-analysis,07-test-coverage-gap-analysis,08-architecture-boundary-violations	status	3	agent/deep-audit/09-optimization-roadmap	.worktrees/09-optimization-roadmap	0	0
10-executable-action-plan	packages/10-executable-action-plan.md	status/10-executable-action-plan.md	09-optimization-roadmap	status	3	agent/deep-audit/10-executable-action-plan	.worktrees/10-executable-action-plan	0	0
99-finalize	packages/99-finalize.md	status/99-finalize.md	01-architecture-structural-analysis,02-technical-debt-audit,03-module-dependency-analysis,04-code-quality-metrics,05-session-kernel-deep-dive,06-performance-optimization-analysis,07-test-coverage-gap-analysis,08-architecture-boundary-violations,09-optimization-roadmap,10-executable-action-plan	status+code	final	agent/deep-audit/99-finalize	.worktrees/99-finalize	0	1
